#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Primary_Category,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Install_Date,#Download_File_Name
"0098","+","Mamaea Awakened","","Dungeons and Locations",46096,"https://www.nexusmods.com/morrowind/mods/46096","1.0.7.0","2025/03/28 22:06:39","Mamaea Awakened-46096-1-0-7-1584828045.7z"
"0099","+","Vaermora - Walking Stance Hold of the Thrice-Dreamed","","Towns and Villages",46097,"https://www.nexusmods.com/morrowind/mods/46097","1.15.0.0","2025/03/28 22:06:45","Vaermora-46097-1-15-1541186638.zip"
"0100","+","-Tel Felisa-","","Dungeons and Locations",47201,"https://www.nexusmods.com/morrowind/mods/47201","1.0.0.0","2025/03/28 22:06:49","Tel Felisa-47201-1-0-1569709630.zip"
"0101","-","The Reclamation of Hasimminus Mine","","Quests and Adventures",46095,"https://www.nexusmods.com/morrowind/mods/46095","1.0.0.0","2025/03/28 22:06:53","Reclaiming Hasimminus-46095-1-1539660470.7z"
"0102","+","After the Blight","","Quests and Adventures",46099,"https://www.nexusmods.com/morrowind/mods/46099","1.13.0.0","2025/03/28 22:07:12","Crown Edition-46099-1-13-1743204934.7z"
"0103","+","Ashes and Ice","","Dungeons and Locations",45250,"https://www.nexusmods.com/morrowind/mods/45250","1.1.0.0","2025/03/28 22:07:18","AshesAndIce1.7z-45250-1-1.7z"
"0104","+","Legend of Chemua","","Quests and Adventures",45253,"https://www.nexusmods.com/morrowind/mods/45253","f1.031","2025/03/28 22:07:23","Legend of Chemua-45253-1-031.zip"
"0105","+","Treasures of Magic","","Items, Objects, and Clothes",45251,"https://www.nexusmods.com/morrowind/mods/45251","1.2.0.0","2025/03/28 22:07:27","Treasures of Magic 1.2.1-45251-1-2.rar"
"0106","+","Akulakhan's best chamber","","Dungeons and Locations",49644,"https://www.nexusmods.com/morrowind/mods/49644","1.3.6.0","2025/03/29 12:07:15","A.B.C.-49644-1-3-6-1739023795.rar"
"0107","+","OpenMW Water Shader Enhanced (OWSE)","","Immersion",56186,"https://www.nexusmods.com/morrowind/mods/56186","1.2.0.0","2025/04/02 19:18:13","OWSE-56186-1-2-1742401179.rar"
"0108","+","Tales from the Ashlands - The Great Hive Baan Binif","","Dungeons and Locations",51419,"https://www.nexusmods.com/morrowind/mods/51419","1.1.0.0","2025/03/29 12:59:27","Baan Binif-51419-1-1-1713208228.rar"
"0109","+","The Dream is the Door","","Immersion",47423,"https://www.nexusmods.com/morrowind/mods/47423","1.3.0.0","2025/03/29 12:59:31","The Dream is the Door-47423-1-3-1655842474.7z"
"0110","+","Thus Spoke the Sixth House","","Guilds/Factions",46892,"https://www.nexusmods.com/morrowind/mods/46892","1.0.0.0","2025/03/29 13:23:05","Thus Spoke the Sixth House-46892-1-1559891763.rar"
"0111","+","Blight Storms Restored","","Bug Fixes",45558,"https://www.nexusmods.com/morrowind/mods/45558","2.2.0.0","2025/03/29 13:23:09","Blight Storms Restored-45558-2-2-1582462120.7z"
"0112","+","Strength Encumberance Multiplier - Carry more Weight per Str","","Gameplay",28213,"https://www.nexusmods.com/morrowind/mods/28213","1.2.0.0","2025/03/29 18:03:53","Encumberance Increaser-28213-1-2.7z"
"0113","-","Great House Dagoth","","Quests and Adventures",48200,"https://www.nexusmods.com/morrowind/mods/48200","f1.04","2025/03/30 12:58:26","Great House Dagoth-48200-1-04-1590672683.zip"
"0114","+","The Buoyant Armigers","","Guilds/Factions",54360,"https://www.nexusmods.com/morrowind/mods/54360","1.4.0.0","2025/03/30 14:43:00","buoyantarmigers.7z-54360-1-4-1715015266.7z"
"0115","+","The Abidi Pipe Emporium","","Quests and Adventures",54237,"https://www.nexusmods.com/morrowind/mods/54237","1.4.0.0","2025/03/30 14:43:04","pipeemporium.7z-54237-1-4-1730402211.7z"
"0116","+","Collecting The Thirty-Six Lessons of Vivec","","Quests and Adventures",54257,"https://www.nexusmods.com/morrowind/mods/54257","1.2.0.0","2025/03/30 14:44:18","thelessons.7z-54257-1-2-1720685670.7z"
"0117","+","Five Nights At Fargoth's","","Quests and Adventures",54364,"https://www.nexusmods.com/morrowind/mods/54364","1.0.0.0","2025/03/30 14:44:23","Five Nights At Fargoth's-54364-1-0-1711402067.zip"
"0118","+","Molag Amur Mountains","","Dungeons and Locations",54247,"https://www.nexusmods.com/morrowind/mods/54247","1.4.0.0","2025/03/30 14:44:43","MolagAmurMountainsV1.4-54247-1-4-1713492736.zip"
"0119","+","A River of Fire","","Dungeons and Locations",54248,"https://www.nexusmods.com/morrowind/mods/54248","1.2.1.0","2025/03/30 14:44:47","ARiverOfFire-54248-1-2-1-1713745022.zip"
"0120","+","Shroomdoliers and a Fishrooman","","Towns and Villages",54330,"https://www.nexusmods.com/morrowind/mods/54330","1.0.2.0","2025/03/30 14:44:51","Shroomdoliers and a Fishrooman-54330-1-0-2-1710992898.zip"
"0121","-","Arvesa - An Armiger's Tale","","Companions",53400,"https://www.nexusmods.com/morrowind/mods/53400","1.3.2.0","2025/03/30 14:44:55","Arvesa - An Armiger's Tale-53400-1-3-2-1739792888.7z"
"0122","+","Rapport - OpenMW Companions","","Companions",54132,"https://www.nexusmods.com/morrowind/mods/54132","3.6.0.0","2025/03/30 14:46:26","Rapport 3.6-54132-3-6-1725343599.zip"
"0123","+","Imperial Cult Quest Expansion","","Quests and Adventures",54157,"https://www.nexusmods.com/morrowind/mods/54157","1.3.0.0","2025/03/30 14:46:31","Imperial Cult Expansion-54157-1-3-1713674093.rar"
"0124","+","An Addendum to Tamrielic Lore Data","","Modders Resources and Tutorials",50647,"https://www.nexusmods.com/morrowind/mods/50647","0.6.0.0c7","2025/03/30 14:46:51","AATL_Data-50647-0-6c7-1732823596.7z"
"0125","+","An Addendum to Tamrielic Lore Main","","Dungeons and Locations",54147,"https://www.nexusmods.com/morrowind/mods/54147","1.2.0.0","2025/03/30 14:47:21","AATL_Main-54147-1-2-0-1729396390.7z"
"0126","-","Great House Dagoth OpenMW Hard Hack","","Bug Fixes",46486,"https://www.nexusmods.com/morrowind/mods/46486","f1.04","2025/03/30 16:11:01","Great House Dagoth OpenMW Hard Hack-46486-1-04-1553799447.7z"
"0127","+","Ald'Ruhn Outskirts - Ancestral Refuge","","Dungeons and Locations",55944,"https://www.nexusmods.com/morrowind/mods/55944","3.2.0.0","2025/04/01 17:21:05","Ald'Ruhn Outskirts - Ancestral Refuge 3.2-55944-3-2-1741183755.rar"
"0128","+","Sea Forts of Morrowind","","Dungeons and Locations",54700,"https://www.nexusmods.com/morrowind/mods/54700","2.0.0.0v","2025/04/01 17:21:13","Sea Forts of Morrowind-54700-1-0v-1717542285.7z"
"0129","+","Beyond the Firmament","","Quests and Adventures",55437,"https://www.nexusmods.com/morrowind/mods/55437","1.3.4.0","2025/04/01 17:21:43","Beyond the Firmament-55437-1-3-4-1735577449.zip"
"0130","+","Greymarch Dawn - Whispers of Jyggalag","","Dungeons and Locations",53679,"https://www.nexusmods.com/morrowind/mods/53679","1.2.2.0","2025/04/01 17:29:45","Greymarch Dawn - Whispers of Jyggalag-53679-1-2-2-1742688847.7z"
"0131","+","Vivec Canal Candles","","Miscellaneous",56287,"https://www.nexusmods.com/morrowind/mods/56287","1.0.0.0","2025/04/02 19:21:50","Vivec Canal Candles-56287-1-0-0-1743623598.zip"
"0132","+","Morrowind Enhanced Textures - Interface and main menu","","Models and Textures",46221,"https://www.nexusmods.com/morrowind/mods/46221","1.2.0.0","2025/04/02 19:22:13","Interface and main menu-46221-1-2-1728984294.7z"
"0133","+","MET 6 Atlas textures","","Models and Textures",46221,"https://www.nexusmods.com/morrowind/mods/46221","6.0.0.0","2025/04/02 19:22:28","MET 6 Atlas textures-46221-6-1697968149.zip"
"0134","+","MET Meshes","","Models and Textures",46221,"https://www.nexusmods.com/morrowind/mods/46221","1.2.0.0","2025/04/02 19:22:42","MET Meshes-46221-1-2-1653845915.zip"
"0135","+","Morrowind Better Bookshleves","","Miscellaneous",38352,"https://www.nexusmods.com/morrowind/mods/38352","2021.0.0.0-12-15","2025/04/02 19:29:43","Better Bookshelves-38352-2021-12-15-1639586647.7z"
"0136","+","OpenMW Dynamic Actors","","Animations",54782,"https://www.nexusmods.com/morrowind/mods/54782","1.14.0.0","2025/04/02 19:35:21","OpenMW Dynamic Actors-54782-1-14-1743293226.zip"
"0137","+","Vurt's Morrowind Visual Resurgence","","Models and Textures",56037,"https://www.nexusmods.com/morrowind/mods/56037","0.7.0.0","2025/04/02 19:56:50","Vurt's MVR-56037-0-7-1741773583.zip"
"0138","+","Dynamic Music (OpenMW Only)","","Audio",53568,"https://www.nexusmods.com/morrowind/mods/53568","0.13.0.0","2025/04/03 17:34:05","Dynamic Music-53568-0-13-1729587197.zip"
"0139","+","Dynamic Music - Sixth House","","",0,"","","2025/04/03 14:54:17",""
"0140","+","True Lights and Darkness - Necro Edit","","Miscellaneous",47133,"https://www.nexusmods.com/morrowind/mods/47133","3.1.0.0","2025/04/03 15:04:04","True Lights and Darkness - Necro Edit-47133-3-1-1629271240.7z"
"0141","-","MUSE Music Expansion - Sixth House","","Audio",51082,"https://www.nexusmods.com/morrowind/mods/51082","1.1.0.0","2025/04/03 15:04:09","MUSE Expansion - Sixth House-51082-1-1-1661966212.7z"
"0142","+","The Corprusarium experience","","Dungeons and Locations",49738,"https://www.nexusmods.com/morrowind/mods/49738","1.3.0.0","2025/04/03 18:48:17","The Corprusarium experience-49738-1-5-1719074049.7z"
"0143","+","Scornfully Wielded Insults and Taunts (SWIT)","","Immersion",54390,"https://www.nexusmods.com/morrowind/mods/54390","1.2.1.0","2025/04/04 23:47:42","S.W.I.T-54390-1-2-1-1735663158.7z"
"0144","+","No Witness - No Bounty","","Gameplay",53384,"https://www.nexusmods.com/morrowind/mods/53384","1.0.1.0","2025/04/04 23:47:47","No Witness - No Bounty - 1.0.1-53384-1-0-1-1692378380.zip"
"0145","+","Simply Walking (Remastered)","","Animations",49785,"https://www.nexusmods.com/morrowind/mods/49785","1.3.0.0","2025/04/04 23:50:52","Simply Walking-49785-1-3-1621215152.7z"
"0146","+","Library of Vivec Enhanced","","Immersion",50181,"https://www.nexusmods.com/morrowind/mods/50181","1.6.0.0","2025/04/04 23:52:01","Library of Vivec Enhanced-50181-1-9-1690869379.zip"
"0147","+","Yet Another Guard Diversity - Regular Patch","","Immersion",50181,"https://www.nexusmods.com/morrowind/mods/50181","1.0.0.0","2025/04/04 23:52:10","Yet Another Guard Diversity - Regular Patch-50181-1-0-1699783538.rar"
"0148","+","Vapourmist - A Cloud and Mist Mod","","Models and Textures",50517,"https://www.nexusmods.com/morrowind/mods/50517","4.3.1.0","2025/04/04 23:59:02","Vapourmist 4.3.1-50517-4-3-1-1697982037.7z"
"0149","+","Imperial Towns Normal Mapped for OpenMW","","Models and Textures",44536,"https://www.nexusmods.com/morrowind/mods/44536","1.1.0.0","2025/04/04 23:59:09","Lysol's Imperial Towns normal Mapped for OpenMW-44536-1-1-1549630474.7z"
"0150","+","Vivec Normal Mapped for OpenMW","","Models and Textures",44259,"https://www.nexusmods.com/morrowind/mods/44259","1.1.0.0","2025/04/04 23:59:16","Lysol's Vivec Normal Mapped for OpenMW 1.1-44259-1-1.7z"
"0151","+","Hlaalu Normal Mapped for OpenMW","","Models and Textures",44297,"https://www.nexusmods.com/morrowind/mods/44297","1.1.0.0","2025/04/04 23:59:23","Lysol's Hlaalu Normal Mapped for OpenMW-44297-1-1.7z"
"0152","+","Distant Seafloor for OpenMW","","Immersion",50796,"https://www.nexusmods.com/morrowind/mods/50796","f2.00","2025/04/04 23:59:44","Distant_Seafloor_2.00-50796-2-00-1655819832.zip"
"0153","+","Dynamic Distant Buildings for OpenMW","","Immersion",51236,"https://www.nexusmods.com/morrowind/mods/51236","1.0.0.0","2025/04/04 23:59:53","Dynamic Distant Details v1.0-51236-1-0-1652573228.zip"
"0154","+","Animated_Morrowind","","",0,"","d2025.4.5.0","2025/04/05 00:02:27","C:/Users/New/Desktop/Animated_Morrowind - merged.7z"
"0155","+","Animated Morrowind OpenMW Patch","","Animations",48837,"https://www.nexusmods.com/morrowind/mods/48837","1.1.0.0","2025/04/05 00:02:42","Animated Morrowind OpenMW Patch-48837-1-1-1600381154.zip"
"0156","+","OpenMW Upscaled Inventory Icons","","User Interface",56159,"https://www.nexusmods.com/morrowind/mods/56159","1.0.0.0","2025/04/06 18:33:50","Upscaled Inventory Icons-56159-1-0-1741622843.7z"
"0157","+","Devilish Wabbajack (OpenMW 0.49)","","Weapons and Armour",56157,"https://www.nexusmods.com/morrowind/mods/56157","1.4.0.0","2025/04/06 18:33:58","Devilish Wabbajack-56157-1-4-1742761657.rar"
"0158","+","FMI - Sane Ordinators","","Gameplay",47381,"https://www.nexusmods.com/morrowind/mods/47381","1.6.0.0","2025/04/06 18:34:02","FMI - Sane Ordinators-47381-1-6-1595344925.zip"
"0159","+","HiRez Armors - Native Styles V2 Fixed and Optimized","","Models and Textures",47919,"https://www.nexusmods.com/morrowind/mods/47919","2.3.0.0a","2025/04/06 18:34:06","HiRez Armors - Native StylesV2 Fixed and Optimized-47919-2-3a-1737799632.7z"
"0160","+","Safe Indoril Armour","","Armour",45323,"https://www.nexusmods.com/morrowind/mods/45323","d2025.4.6.0","2025/04/07 17:42:37","Safe Indoril Armour-45323-.rar"
"0161","+","6th House Robe Normal Mapped","","Models and Textures",52567,"https://www.nexusmods.com/morrowind/mods/52567","1.0.0.0","2025/04/08 21:54:05","6th House Robe Normal Mapped-52567-1-0-1681179314.7z"
"0162","+","6th House - Glowing Things Normal Mapped","","Models and Textures",52567,"https://www.nexusmods.com/morrowind/mods/52567","1.0.0.0","2025/04/08 21:54:13","6th House - Glowing Things Normal Mapped-52567-1-0-1680228098.7z"
"0163","+","A Strange Plant Normal Mapped","","Models and Textures",52567,"https://www.nexusmods.com/morrowind/mods/52567","1.0.0.0","2025/04/08 21:54:21","A Strange Plant Normal Mapped-52567-1-0-1682446048.7z"
"0164","+","AATL Data - An Addendum to Tamrielic Lore Data Normal Mapped","","Models and Textures",52567,"https://www.nexusmods.com/morrowind/mods/52567","1.0.0.0","2025/04/08 21:54:27","AATL Data - An Addendum to Tamrielic Lore Data Normal Mapped-52567-1-0-1680228146.7z"
"0165","+","Clothiers of Vvardenfell","","Miscellaneous",27167,"https://www.nexusmods.com/morrowind/mods/27167","d2025.4.8.0","2025/04/08 21:55:47"," Clothiers of Vvardenfell-27167.7z"
"0166","+","OAAB Classes","","Miscellaneous",49045,"https://www.nexusmods.com/morrowind/mods/49045","1.0.0.0","2025/04/08 22:06:02","OAAB Classes-49045-1-0-1744051984.7z"
"0167","+","OAAB Creature Loot","","Miscellaneous",49045,"https://www.nexusmods.com/morrowind/mods/49045","1.3.0.0","2025/04/08 22:06:08","OAAB Creature Loot-49045-1-3-1678246154.7z"
"0168","+","OAAB Dark Temptations","","Miscellaneous",49045,"https://www.nexusmods.com/morrowind/mods/49045","1.1.0.0","2025/04/08 22:06:16","OAAB Dark Temptations-49045-1-1-1621806163.7z"
"0169","+","Better Waterfalls","","Models and Textures",45424,"https://www.nexusmods.com/morrowind/mods/45424","2.0.1.0","2025/04/08 22:08:09","Better Waterfalls-45424-2-0-1-1615572710.7z"
"0170","+","Delayed DB Attack V2","","Miscellaneous",14891,"https://www.nexusmods.com/morrowind/mods/14891","2.1.0.0","2025/04/08 22:08:15","DelayedDBAttacksTest-14891-2-1.zip"
"0171","+","Long Live The Glassware - Retexture","","Models and Textures",44016,"https://www.nexusmods.com/morrowind/mods/44016","1.1.0.0","2025/04/08 22:13:48","Long Live The Glassware - Retexture-44016-1-1-1716135735.7z"
"0172","+","Andromedas Fast Travel","","Gameplay",41542,"https://www.nexusmods.com/morrowind/mods/41542","f0.05","2025/04/08 22:20:59","Andromeda's Fast Travel v0.05 Distance Calculation-41542-0-05-1555862785.7z"
"0173","+","Immersive Mournhold","","Overhauls",49353,"https://www.nexusmods.com/morrowind/mods/49353","2.9.0.0","2025/04/08 22:21:04","Immersive Mournhold-49353-2-9-1740858701.7z"
"0174","+","Apel's Rain Replacer","","Models and Textures",42555,"https://www.nexusmods.com/morrowind/mods/42555","1.0.0.0","2025/04/08 22:21:10","Apel rain replacer v 1_0-42555-1-0.rar"
"0175","+","Sleepers awake for OpenMW","","Miscellaneous",51813,"https://www.nexusmods.com/morrowind/mods/51813","1.0.0.0","2025/04/08 22:21:37","Sleepers awake for OpenMW-51813-1-0-1667866628.rar"
"0176","+","FMI - NotAllDunmer","","Bug Fixes",47569,"https://www.nexusmods.com/morrowind/mods/47569","1.0.0.0","2025/04/08 22:44:44","FMI - NotAllDunmer-47569-1-0-1580850171.zip"
"0177","+","OAAB Grazelands","","Towns and Villages",49075,"https://www.nexusmods.com/morrowind/mods/49075","2.2.0.0","2025/04/08 22:45:02","OAAB Grazelands-49075-2-2-1-1738285378.7z"
"0178","+","Silt Strider Animation Restored","","Bug Fixes",44150,"https://www.nexusmods.com/morrowind/mods/44150","1.0.0.0","2025/04/08 22:45:07","Silt Strider Animation Restored-44150-1-0.7z"
"0179","+","OAAB Tel Mora","","Towns and Villages",46177,"https://www.nexusmods.com/morrowind/mods/46177","4.1.2.0","2025/04/08 22:45:21","OAAB Tel Mora-46177-4-1-2-1733425555.7z"
"0180","+","Long Live The Plates - Retexture","","Models and Textures",43935,"https://www.nexusmods.com/morrowind/mods/43935","1.0.0.0","2025/04/08 22:45:29","Long Live The Plates - Retexture-43935-1-0.7z"
"0181","+","OAAB - Foyada Mamaea","","Overhauls",46424,"https://www.nexusmods.com/morrowind/mods/46424","1.1.0.0","2025/04/08 22:45:34","OAAB - Foyada Mamaea-46424-1-1-1656006099.7z"
"0182","+","The Bird Yoinker - Where are all birds going OpenMW fix","","Immersion",54983,"https://www.nexusmods.com/morrowind/mods/54983","0.0.1.0","2025/04/10 12:48:10","BirdsYoink-54983-0-0-1-1721078339.zip"
"0183","+","Project Cyrodiil","","New Lands",44922,"https://www.nexusmods.com/morrowind/mods/44922","24.12.0.0a","2025/04/15 14:47:50","Cyr_Main-44922-24-12a-1735079448.7z"
"0184","+","Indoril Spear","","Weapons and Armour",42137,"https://www.nexusmods.com/morrowind/mods/42137","d2025.4.23.0","2025/04/23 16:57:25","Indoril Spear v 2-42137-.zip"
"0185","+","Weapon Sheathing - Staff and Spear Flip (OpenMW Only)","","Animations",49043,"https://www.nexusmods.com/morrowind/mods/49043","1.0.0.0","2025/04/23 17:01:01","Weapon Sheathing Staff Spear Flip-49043-1-0-1605506202.zip"
"0186","+","More Useful Spears-Pikes","","",42450,"https://www.nexusmods.com/morrowind/mods/42450","d2025.4.23.0","2025/04/23 17:10:06","C:/Users/New/Desktop/More Useful Spears-Pikes-42450-0-02.7z"
